"","Site","Stage","cluster","UMAP1","UMAP2","nGene","nUMI","Library","select"
"YS5_TKR180900693_HT3YJCCXY_L4_sc60","YS","CS17","Mac_2",5.76178789138794,-3.48815178871155,6517,439793,"YS5","select"
"YS5_TKR180900693_HT3YJCCXY_L4_sc64","YS","CS17","MkP",-7.36902046203613,-5.22148895263672,7267,676833,"YS5","others"
"YS5_TKR180900693_HT3YJCCXY_L4_sc66","YS","CS17","ErP",-2.80252647399902,-0.317422121763229,8324,552711,"YS5","others"
"YS5_TKR180900693_HT3YJCCXY_L4_sc67","YS","CS17","Mac_2",5.00783443450928,-3.60044765472412,5627,356986,"YS5","select"
"YS5_TKR180900693_HT3YJCCXY_L4_sc74","YS","CS17","ErP",-5.80660438537598,-3.5469925403595,6433,759718,"YS5","others"
"YS5_TKR180900693_HT3YJCCXY_L4_sc82","YS","CS17","GMP",-2.62568497657776,-1.10971570014954,6646,538933,"YS5","select"
"YS5_TKR180900693_HT3YJCCXY_L4_sc83","YS","CS17","ErP",-5.80702257156372,-3.26724529266357,6364,761880,"YS5","others"
"YS5_TKR180900693_HT3YJCCXY_L4_sc84","YS","CS17","Mac_2",6.13435840606689,-0.476899832487106,3429,77507,"YS5","select"
"YS5_TKR180900693_HT3YJCCXY_L4_sc88","YS","CS17","Monocyte",5.64446926116943,-2.68794465065002,2624,45604,"YS5","select"
"YS5_TKR180900693_HT3YJCCXY_L4_sc89","YS","CS17","Myeloblast",-1.11625957489014,0.371190786361694,5442,225713,"YS5","select"
"YS5_TKR180900693_HT3YJCCXY_L4_sc91","YS","CS17","CD7hiP",-0.870385944843292,-4.52802705764771,4432,363013,"YS5","others"
"B2_TKR180900710_HT3YJCCXY_L6_sc1","Blood","CS15","CD7loP",0.912179827690125,-3.61878085136414,7741,737060,"B2","others"
"B2_TKR180900710_HT3YJCCXY_L6_sc2","Blood","CS15","MkP",-7.05442094802856,-4.64354801177979,6975,631527,"B2","others"
"B2_TKR180900710_HT3YJCCXY_L6_sc3","Blood","CS15","YSMP",-4.75854301452637,-1.2244827747345,6092,254343,"B2","select"
"B2_TKR180900710_HT3YJCCXY_L6_sc4","Blood","CS15","ErP",-6.37240409851074,-3.78520750999451,7459,831610,"B2","others"
"B2_TKR180900710_HT3YJCCXY_L6_sc5","Blood","CS15","GMP",-2.05422210693359,0.0809534043073654,3563,22995,"B2","select"
"B2_TKR180900710_HT3YJCCXY_L6_sc6","Blood","CS15","YSMP",-3.90334582328796,-1.88062727451324,4716,109850,"B2","select"
"B2_TKR180900710_HT3YJCCXY_L6_sc7","Blood","CS15","ErP",-6.2614369392395,-2.52098202705383,4948,170061,"B2","others"
"B2_TKR180900710_HT3YJCCXY_L6_sc8","Blood","CS15","YSMP",-4.85185718536377,-1.85936617851257,5499,55869,"B2","select"
"B2_TKR180900710_HT3YJCCXY_L6_sc55","Blood","CS15","YSMP",-4.55707693099976,-1.25766122341156,5998,291751,"B2","select"
"B2_TKR180900710_HT3YJCCXY_L6_sc56","Blood","CS15","ErP",-6.39144659042358,-3.1134889125824,4505,72501,"B2","others"
"B2_TKR180900710_HT3YJCCXY_L6_sc57","Blood","CS15","ErP",-6.91759443283081,-4.32547187805176,6125,256926,"B2","others"
"B2_TKR180900710_HT3YJCCXY_L6_sc58","Blood","CS15","YSMP",-4.60127401351929,-1.66408026218414,7225,585059,"B2","select"
"B2_TKR180900710_HT3YJCCXY_L6_sc59","Blood","CS15","Mast cell",-6.5352144241333,-2.0717465877533,6533,275191,"B2","others"
"B2_TKR180900710_HT3YJCCXY_L6_sc60","Blood","CS15","YSMP",-4.39531517028809,-2.09825563430786,6114,388231,"B2","select"
"B2_TKR180900710_HT3YJCCXY_L6_sc61","Blood","CS15","MkP",-7.00962924957275,-4.54865217208862,6529,492368,"B2","others"
"B2_TKR180900710_HT3YJCCXY_L6_sc62","Blood","CS15","YSMP",-4.14599657058716,-1.8996946811676,5958,274126,"B2","select"
"B2_TKR180900710_HT3YJCCXY_L6_sc63","Blood","CS15","ErP",-5.3528790473938,-2.52678203582764,8147,652903,"B2","others"
"B2_TKR180900710_HT3YJCCXY_L6_sc64","Blood","CS15","YSMP",-3.49876070022583,-2.27359509468079,6437,367299,"B2","select"
"B2_TKR180900710_HT3YJCCXY_L6_sc65","Blood","CS15","ErP",-6.05900526046753,-2.65605092048645,5618,158677,"B2","others"
"B2_TKR180900710_HT3YJCCXY_L6_sc66","Blood","CS15","YSMP",-4.06347799301147,-1.37280225753784,7839,333641,"B2","select"
"B2_TKR180900710_HT3YJCCXY_L6_sc67","Blood","CS15","YSMP",-4.20509815216064,-1.85379648208618,7171,448050,"B2","select"
"B2_TKR180900710_HT3YJCCXY_L6_sc68","Blood","CS15","YSMP",-4.27040672302246,-1.75913918018341,7039,605800,"B2","select"
"B2_TKR180900710_HT3YJCCXY_L6_sc69","Blood","CS15","YSMP",-2.91700792312622,-2.90273690223694,6217,223334,"B2","select"
"B2_TKR180900710_HT3YJCCXY_L6_sc70","Blood","CS15","YSMP",-3.81821942329407,-1.93262994289398,5101,212569,"B2","select"
"B2_TKR180900710_HT3YJCCXY_L6_sc71","Blood","CS15","YSMP",-3.40083050727844,-1.77599120140076,6122,421698,"B2","select"
"B2_TKR180900710_HT3YJCCXY_L6_sc72","Blood","CS15","YSMP",-4.27292966842651,-1.5997496843338,5651,202166,"B2","select"
"B2_TKR180900710_HT3YJCCXY_L6_sc74","Blood","CS15","YSMP",-4.00727987289429,-1.48898506164551,6235,560910,"B2","select"
"B2_TKR180900710_HT3YJCCXY_L6_sc75","Blood","CS15","YSMP",-3.6355836391449,-1.9466552734375,6562,92337,"B2","select"
"B2_TKR180900710_HT3YJCCXY_L6_sc76","Blood","CS15","ErP",-6.34686374664307,-3.71034169197083,7283,36821,"B2","others"
"B2_TKR180900710_HT3YJCCXY_L6_sc77","Blood","CS15","GMP",-2.23281598091125,-0.0438039675354958,4898,171685,"B2","select"
"B2_TKR180900710_HT3YJCCXY_L6_sc78","Blood","CS15","Myeloblast",0.554586231708527,0.791685163974762,2719,39477,"B2","select"
"B2_TKR180900710_HT3YJCCXY_L6_sc79","Blood","CS15","YSMP",-4.17794275283813,-0.761433064937592,6025,77525,"B2","select"
