"","Stage","Site","cluster","UMAP1","UMAP2","show"
"YS5_TKR180900693_HT3YJCCXY_L4_sc60","CS17","YS","Monocyte",5.1576714515686,-2.30116367340088,"CS17"
"YS5_TKR180900693_HT3YJCCXY_L4_sc67","CS17","YS","Lung_Mac",7.81484985351562,-0.917564928531647,"CS17"
"YS5_TKR180900693_HT3YJCCXY_L4_sc82","CS17","YS","EMP",-2.69596290588379,-2.03167772293091,"CS17"
"YS5_TKR180900693_HT3YJCCXY_L4_sc84","CS17","YS","Monocyte",5.40103149414062,-2.13151478767395,"CS17"
"YS5_TKR180900693_HT3YJCCXY_L4_sc88","CS17","YS","Monocyte",4.90540075302124,-2.31971764564514,"CS17"
"YS5_TKR180900693_HT3YJCCXY_L4_sc89","CS17","YS","Myeloblast",-0.12699481844902,-2.05286192893982,"CS17"
"B2_TKR180900710_HT3YJCCXY_L6_sc3","CS15","Blood","EMP",-4.50833702087402,-1.8540233373642,"CS15"
"B2_TKR180900710_HT3YJCCXY_L6_sc5","CS15","Blood","GMP",-1.34506916999817,-2.32867336273193,"CS15"
"B2_TKR180900710_HT3YJCCXY_L6_sc6","CS15","Blood","EMP",-3.9096667766571,-1.80371165275574,"CS15"
"B2_TKR180900710_HT3YJCCXY_L6_sc8","CS15","Blood","EMP",-3.37431335449219,-1.78557097911835,"CS15"
"B2_TKR180900710_HT3YJCCXY_L6_sc55","CS15","Blood","EMP",-4.2031512260437,-1.87592089176178,"CS15"
"B2_TKR180900710_HT3YJCCXY_L6_sc58","CS15","Blood","EMP",-4.20022201538086,-1.59629940986633,"CS15"
"B2_TKR180900710_HT3YJCCXY_L6_sc60","CS15","Blood","EMP",-3.09374046325684,-1.94289577007294,"CS15"
"B2_TKR180900710_HT3YJCCXY_L6_sc62","CS15","Blood","EMP",-3.66065764427185,-1.94562721252441,"CS15"
"B2_TKR180900710_HT3YJCCXY_L6_sc64","CS15","Blood","EMP",-3.71142888069153,-1.87441325187683,"CS15"
"B2_TKR180900710_HT3YJCCXY_L6_sc66","CS15","Blood","EMP",-4.48433780670166,-1.2565404176712,"CS15"
"B2_TKR180900710_HT3YJCCXY_L6_sc67","CS15","Blood","EMP",-3.7318868637085,-1.64741849899292,"CS15"
"B2_TKR180900710_HT3YJCCXY_L6_sc68","CS15","Blood","EMP",-4.01223707199097,-1.41876614093781,"CS15"
"B2_TKR180900710_HT3YJCCXY_L6_sc69","CS15","Blood","EMP",-3.78855419158936,-1.78583002090454,"CS15"
"B2_TKR180900710_HT3YJCCXY_L6_sc70","CS15","Blood","EMP",-4.12513446807861,-1.66258490085602,"CS15"
"B2_TKR180900710_HT3YJCCXY_L6_sc71","CS15","Blood","EMP",-3.06595277786255,-1.84354710578918,"CS15"
"B2_TKR180900710_HT3YJCCXY_L6_sc72","CS15","Blood","EMP",-4.17722463607788,-1.98348832130432,"CS15"
"B2_TKR180900710_HT3YJCCXY_L6_sc74","CS15","Blood","EMP",-4.14032554626465,-1.33128154277802,"CS15"
"B2_TKR180900710_HT3YJCCXY_L6_sc75","CS15","Blood","EMP",-4.09950256347656,-1.72392272949219,"CS15"
"B2_TKR180900710_HT3YJCCXY_L6_sc77","CS15","Blood","GMP",-1.42103731632233,-2.29981398582458,"CS15"
"B2_TKR180900710_HT3YJCCXY_L6_sc78","CS15","Blood","Myeloblast",1.14905345439911,-1.43661773204803,"CS15"
